woman_id,age,myth_injection_causes_infertility,myth_contraceptives_cause_health_problems,myth_contraceptives_harm_womb,myth_contraceptives_reduce_sexual_urge,myth_contraceptives_cause_cancer,myth_contraceptives_cause_deformed_babies,myth_contraceptives_are_dangerous
1247,16.0,,,,,,,
1248,20.0,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree
1249,18.0,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
1250,39.0,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Disagree
1251,47.0,Disagree,Agree,Agree,Agree,Agree,Agree,Agree
1252,48.0,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
1253,22.0,Disagree,Agree,Agree,Agree,Agree,Agree,Agree
1254,44.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1255,19.0,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree
1256,21.0,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree
1257,17.0,Disagree,Agree,Agree,Agree,Agree,Agree,Agree
1258,30.0,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1259,26.0,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
1260,25.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1261,17.0,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree
1262,48.0,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree
1263,22.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
1264,16.0,,,,,,,
1265,22.0,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree
1266,28.0,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree
1267,38.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree
1268,19.0,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Agree
1269,16.0,,,,,,,
1270,21.0,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
1271,23.0,,,,,,,
1272,43.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1273,32.0,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree
1274,26.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree
1275,25.0,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Agree
1276,35.0,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Disagree
1277,15.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
1278,19.0,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree
1279,18.0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree
1280,47.0,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree
1281,23.0,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
1282,24.0,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree
1283,17.0,Agree,Agree,Disagree,Agree,Agree,Agree,Agree
1284,17.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree
1285,30.0,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree
1286,40.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1287,18.0,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree
1288,22.0,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree
1289,48.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
1290,19.0,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree
1291,18.0,Agree,Agree,Agree,Agree,Agree,Disagree,Agree
1292,23.0,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree
1293,25.0,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1294,31.0,Agree,Disagree,,,Agree,Agree,Disagree
1295,32.0,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree
1296,19.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
1297,24.0,Disagree,Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree
1298,16.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1299,41.0,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree
1300,45.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1301,25.0,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree
1302,19.0,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree
1303,47.0,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree
1304,46.0,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1305,25.0,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree
