woman_id,age,myth_injection_causes_infertility,myth_contraceptives_cause_health_problems,myth_contraceptives_harm_womb,myth_contraceptives_reduce_sexual_urge,myth_contraceptives_cause_cancer,myth_contraceptives_cause_deformed_babies,myth_contraceptives_are_dangerous
1477,19.0,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree
1478,23.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
1479,38.0,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree
1480,32.0,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree
1481,34.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1482,35.0,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree
1483,27.0,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree
1484,22.0,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree
1485,28.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1486,20.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1487,15.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
1488,38.0,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
1489,20.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree
1490,43.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
1491,19.0,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree
1492,21.0,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree
1493,38.0,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree
1494,21.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree
1495,40.0,Agree,Agree,Agree,Agree,Disagree,Agree,Agree
1496,17.0,Agree,Agree,Agree,,Agree,Agree,Agree
1497,48.0,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree
1498,46.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1499,24.0,,,,,,,
1500,16.0,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree
1501,15.0,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
1502,40.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1503,17.0,,,,,,,
1504,37.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree
1505,39.0,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree
1506,27.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1507,21.0,Disagree,Disagree,Agree,Disagree,,Agree,Agree
1508,44.0,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree
1509,18.0,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree
1510,39.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree
1511,44.0,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree
1512,16.0,Agree,Agree,Agree,Agree,Disagree,Agree,Agree
1513,17.0,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1514,15.0,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree
1515,22.0,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree
1516,17.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1517,16.0,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree
1518,48.0,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1519,23.0,Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree
1520,27.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1521,27.0,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree
1522,22.0,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
1523,48.0,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1524,20.0,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree
1525,31.0,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree
1526,45.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1527,22.0,Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Disagree
1528,45.0,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree
1529,37.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1530,17.0,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree
1531,19.0,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree
1532,40.0,Agree,Agree,Disagree,Agree,Agree,Agree,Agree
1533,25.0,Strongly Disagree,Disagree,Disagree,,Strongly Disagree,Disagree,Disagree
1534,44.0,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree
1535,48.0,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree
1536,40.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1537,32.0,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree
1538,27.0,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree
1539,38.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
1540,25.0,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
1541,48.0,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree
1542,27.0,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
1543,28.0,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
1544,26.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1545,23.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree
1546,24.0,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1547,25.0,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree
1548,45.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree
1549,48.0,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1550,24.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1551,19.0,,,,,,,
1552,18.0,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree
1553,22.0,Strongly Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree
1554,22.0,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree
1555,43.0,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree
1556,41.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1557,22.0,,,,,,,
1558,16.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1559,43.0,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree
1560,34.0,Disagree,Disagree,,Agree,,Disagree,Agree
1561,20.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree
1562,40.0,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree
1563,17.0,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree
1564,28.0,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree
1565,41.0,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree
1566,24.0,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree
1567,21.0,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree
1568,22.0,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree
1569,24.0,Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
1570,22.0,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree
1572,48.0,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1573,27.0,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
1574,30.0,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1575,31.0,Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree
1576,21.0,Agree,Agree,Agree,Agree,Disagree,Agree,Agree
1577,32.0,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree
1578,22.0,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1579,26.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree
1580,43.0,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree
1581,18.0,,,,,,,
1582,31.0,Disagree,Agree,Agree,Agree,Agree,Agree,Agree
1583,27.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
1584,44.0,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1585,26.0,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree
1586,19.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1587,25.0,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
1588,18.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1589,38.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree
1590,21.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree
1591,48.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree
1592,47.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1593,34.0,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
1594,21.0,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree
1597,21.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree
1598,41.0,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree
1599,48.0,D/K,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1600,45.0,Agree,Agree,Disagree,Agree,Agree,Agree,Agree
1601,25.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
1602,36.0,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree
1603,29.0,,,,,,,
1604,15.0,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree
1605,45.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1606,37.0,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree
1607,44.0,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree
1608,40.0,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree
1609,26.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1610,16.0,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
1611,45.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1612,27.0,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree
1613,27.0,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree
1614,33.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1615,32.0,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree
1616,42.0,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree
1617,19.0,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree
1618,32.0,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree
1619,49.0,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree
1620,22.0,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree
1621,31.0,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree
1622,41.0,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree
1623,39.0,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree
1624,20.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1625,17.0,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree
1626,35.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
1627,38.0,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
1628,18.0,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree
1629,22.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1630,18.0,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree
1631,27.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1632,15.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1633,18.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree
1634,42.0,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree
1635,36.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
1636,35.0,Disagree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Disagree
1637,33.0,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree
1638,42.0,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree
1639,28.0,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree
1640,16.0,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree
1641,48.0,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree
1642,22.0,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
1643,16.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1644,28.0,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
1645,44.0,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree
1646,26.0,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree
1647,41.0,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree
1648,22.0,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree
1649,,,,,,,,
1650,35.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1651,16.0,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree
1652,,,,,,,,
1653,34.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1654,30.0,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1655,,,,,,,,
1656,21.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
1657,15.0,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree
1658,27.0,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree
1659,28.0,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Agree
1660,16.0,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1661,20.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1662,32.0,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree
1663,32.0,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree
1664,21.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1665,24.0,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree
1666,43.0,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree
1667,21.0,Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree
1668,16.0,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree
1669,46.0,,,,,,,
1670,22.0,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree
1671,23.0,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
1672,37.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
1673,28.0,Strongly Disagree,Strongly Agree,Strongly Agree,D/K,Strongly Agree,Agree,Strongly Agree
1674,24.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree
1675,21.0,,,,,,,
1676,25.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1677,27.0,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree
1678,16.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree
1679,17.0,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree
1680,31.0,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree
1682,18.0,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree
1683,45.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
1684,26.0,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1685,16.0,Agree,Disagree,Disagree,,Disagree,,Disagree
1686,38.0,Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree
1687,19.0,,Disagree,,,,Disagree,Disagree
1688,26.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1689,25.0,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
1690,22.0,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
1691,48.0,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree
1692,24.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree
1693,20.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1694,48.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1695,26.0,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree
1696,17.0,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
1697,16.0,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree
1698,21.0,Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree
1699,22.0,Agree,Agree,Agree,Agree,Disagree,Agree,Agree
1700,46.0,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
1701,24.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
1702,41.0,Disagree,Agree,Agree,Agree,Agree,Agree,Agree
1703,17.0,Strongly Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Agree
1704,15.0,Disagree,Agree,,,Disagree,Agree,Agree
1705,15.0,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree
1706,33.0,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree
1707,25.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1708,30.0,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree
1709,47.0,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree
1710,41.0,Disagree,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree
1711,37.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree
1712,47.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1713,31.0,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree
1714,29.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree
1715,15.0,,,,,,,
1716,36.0,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
1717,28.0,,,,,,,
1718,26.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1719,18.0,,,,,,,
1720,42.0,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Agree
1721,16.0,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1722,15.0,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
1723,15.0,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree
1724,21.0,,,,,,,
1725,29.0,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
1726,27.0,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree
1727,31.0,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree
1728,35.0,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree
1729,29.0,Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree
1730,42.0,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree
1731,32.0,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
1732,28.0,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
1733,43.0,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree
1734,,,,,,,,
1735,15.0,,,,,,,
1736,,,,,,,,
1737,29.0,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree
1738,43.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1739,38.0,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Agree
1740,45.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1741,24.0,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Agree
1742,20.0,Agree,Agree,Agree,Agree,Disagree,Agree,Agree
1743,36.0,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1744,48.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1745,28.0,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1746,37.0,,,,,,,
1747,18.0,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree
1748,25.0,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree
1749,17.0,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree
1750,30.0,,,,,,,
1751,19.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree
1752,26.0,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree
1753,31.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
1754,40.0,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree
1755,20.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1757,45.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1758,24.0,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1759,35.0,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Disagree
1760,49.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
1761,49.0,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree
1762,46.0,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree
1763,26.0,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree
1764,27.0,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree
1765,26.0,Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree
1766,33.0,Disagree,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree
1767,18.0,Strongly Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree
1768,34.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
1769,28.0,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree
1770,35.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
1771,18.0,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree
1772,18.0,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree
1773,23.0,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree
1774,49.0,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree
1775,17.0,Strongly Agree,Strongly Agree,Strongly Agree,D/K,Strongly Agree,Strongly Agree,Strongly Agree
1776,47.0,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree
1777,31.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree
1778,20.0,Strongly Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree
1779,21.0,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
