gender,age,class,myth_condoms_mean_promiscuous,myth_condoms_mean_no_trust,myth_contraceptives_encourage_sex,myth_acceptable_to_beat_wife,myth_sex_only_man_woman
female,15,form 2,prefer not to answer,disagree,disagree,disagree,prefer not to answer
female,15,form 2,disagree,disagree,disagree,disagree,agree
female,16,form 3,disagree,disagree,agree,disagree,agree
female,16,form 3,disagree,disagree,disagree,disagree,agree
female,16,form 2,agree,disagree,agree,disagree,disagree
female,15,form 3,prefer not to answer,disagree,disagree,disagree,disagree
female,16,form 2,disagree,disagree,agree,disagree,disagree
female,16,form 3,agree,disagree,agree,disagree,disagree
female,15,form 2,disagree,disagree,agree,disagree,agree
female,15,form 2,prefer not to answer,prefer not to answer,,disagree,agree
female,17,form 3,agree,disagree,disagree,disagree,agree
female,14,form 2,agree,disagree,disagree,disagree,agree
female,15,form 3,agree,disagree,agree,disagree,agree
female,15,form 2,disagree,disagree,agree,disagree,agree
female,15,form 3,prefer not to answer,disagree,agree,disagree,agree
female,16,form 3,disagree,disagree,agree,disagree,agree
female,16,form 2,disagree,disagree,prefer not to answer,disagree,agree
female,16,form 3,disagree,disagree,agree,disagree,agree
female,16,form 3,prefer not to answer,prefer not to answer,agree,disagree,agree
female,17,form 3,disagree,prefer not to answer,disagree,disagree,disagree
female,15,form 2,agree,disagree,disagree,disagree,agree
female,15,form 2,disagree,disagree,agree,disagree,agree
female,17,form 3,agree,disagree,agree,disagree,agree
female,16,form 3,disagree,disagree,disagree,prefer not to answer,agree
male,15,form 2,agree,disagree,disagree,disagree,agree
female,16,form 3,disagree,disagree,agree,disagree,agree
male,18,form 3,agree,agree,agree,prefer not to answer,agree
female,15,form 3,disagree,prefer not to answer,agree,disagree,agree
female,16,form 2,disagree,disagree,disagree,disagree,agree
female,14,form 2,disagree,prefer not to answer,agree,disagree,disagree
female,16,form 3,disagree,disagree,agree,disagree,agree
female,15,form 3,agree,agree,agree,disagree,agree
female,17,form 3,disagree,prefer not to answer,agree,disagree,prefer not to answer
female,16,form 3,disagree,disagree,agree,disagree,agree
female,15,form 2,,agree,disagree,disagree,agree
female,15,form 2,agree,disagree,agree,disagree,agree
female,16,form 2,disagree,disagree,agree,disagree,agree
male,15,form 2,agree,agree,agree,prefer not to answer,agree
male,17,form 3,agree,disagree,agree,disagree,agree
male,17,form 3,agree,agree,agree,disagree,agree
female,16,form 2,disagree,disagree,disagree,disagree,agree
